Author Name,Title,Year,Citations
Arman Ahmed,Chakuri-bazaar: A mobile application for illiterate and semi-literate people for searching employment,2020,20
Arman Ahmed,Comparative analysis of improved cuckoo search (ICS) algorithm and artificial bee colony (ABC) algorithm on continuous optimization problems,2015,17
Arman Ahmed,Towards developing a mobile application for illiterate people to reduce digital divide,2019,12
Arman Ahmed,Advanced cuckoo search algorithm for optimization problem,2015,5
Arman Ahmed,Year of Publication: 2015,2015,0
Kamyar Ghajar,Distilling knowledge for fast retrieval-based chat-bots,2020,32
Kamyar Ghajar,Rings: A game with a purpose for test data generation,2018,14
Kamyar Ghajar,UWaterlooMDS at the TREC 2021 Health Misinformation Track,2021,8
Maitane Mazmela Etxabe (0000-0003-0848-2131),Case study of the experience capturer evaluation tool in the design process of an industrial HMI,2020,15
Maitane Mazmela Etxabe (0000-0003-0848-2131),Evaluation of user experience in human–robot interaction: a systematic literature review,2023,13
Maitane Mazmela Etxabe (0000-0003-0848-2131),Evaluating user experience with physiological monitoring: A systematic literature review,2021,10
Maitane Mazmela Etxabe (0000-0003-0848-2131),TAMUX model for industrial HMI evaluation from UX and task performance perspective,2018,4
Maitane Mazmela Etxabe (0000-0003-0848-2131),New application for sketching in a machine tool company,2022,3
Maitane Mazmela Etxabe (0000-0003-0848-2131),User preferences and associations with light or dark interfaces,2021,2
Maitane Mazmela Etxabe (0000-0003-0848-2131),Evaluación de la experiencia de usuario con monitorización fisiológica: revisión sistemática de la literatura,2021,2
Maitane Mazmela Etxabe (0000-0003-0848-2131),Nuevo modelo para evaluar el nivel de aceptación de las tecnologías desde la perspectiva de la interacción y percepción de usuario,2020,2
Maitane Mazmela Etxabe (0000-0003-0848-2131),APROXIMACIÓN MULTIMÉTODO PARA MEDIR EL IMPACTO DE LOS FACTORES DE DISEÑO EN LA APROPIACIÓN DE UN SOFTWARE DE INTELIGENCIA COMPETITIVA,2020,1
Maitane Mazmela Etxabe (0000-0003-0848-2131),Analysis of task execution in a data visualisation interface and its influence on individual performance,2019,1
Maitane Mazmela Etxabe (0000-0003-0848-2131),To Be or Not to Be. The Servitization Dilemma and the Role of Design,2019,1
Maitane Mazmela Etxabe (0000-0003-0848-2131),Development of a new set of Heuristics for the evaluation of Human-Robot Interaction in industrial settings: Heuristics Robots Experience (HEUROBOX),2023,0
Maitane Mazmela Etxabe (0000-0003-0848-2131),Development and validation of Human-Robot Experience (HUROX) questionnaire for industrial collaborative contexts,2023,0
Maitane Mazmela Etxabe (0000-0003-0848-2131),Development of a new set of Heuristics for the evaluation of Human-Robot Interaction in industrial settings: Heuristics Robots Experience (HEUROBOX),2023,0
Maitane Mazmela Etxabe (0000-0003-0848-2131),"Diversidad, accesibilidad y diseño inclusivo de los entornos de trabajo en la Industria 5.0",2023,0
Maitane Mazmela Etxabe (0000-0003-0848-2131),Mapping Human Factors in Virtual Reality: VRUX,2023,0
Maitane Mazmela Etxabe (0000-0003-0848-2131),Desarrollo y validación del cuestionario Human-Robot eXperience (HUROX) para contextos colaborativos industriales,2023,0
Maitane Mazmela Etxabe (0000-0003-0848-2131),Mapeo de los factores humanos relacionados con la realidad virtual: VRUX,2023,0
Maitane Mazmela Etxabe (0000-0003-0848-2131),"Diversidad, accesibilidad y diseño inclusivo de los entornos de trabajo en la Industria 5.0",2023,0
Maitane Mazmela Etxabe (0000-0003-0848-2131),Mapping Human Factors in Virtual Reality: VRUX,2023,0
Maitane Mazmela Etxabe (0000-0003-0848-2131),Evaluation of User Experience in Human–Robot Interaction: A Systematic Literature Review,2023,0
Maitane Mazmela Etxabe (0000-0003-0848-2131),Evaluación heurística de la interacción persona-robot en entornos industriales,2022,0
Maitane Mazmela Etxabe (0000-0003-0848-2131),REVISTA DE INGENIERIA DYNA REVISTA DE INGENIERIA DYNA,2021,0
Maitane Mazmela Etxabe (0000-0003-0848-2131),Present and future of physiological monitoring to evaluate user experience,2021,0
Maitane Mazmela Etxabe (0000-0003-0848-2131),Presente y futuro de la monitorización fisiológica para evaluar la experiencia de usuario,2021,0
Maitane Mazmela Etxabe (0000-0003-0848-2131),Application of questionnaires for evaluation of user experience in industrial environments,2021,0
Maitane Mazmela Etxabe (0000-0003-0848-2131),Preferencias y asociaciones de las personas usuarias ante interfaces claras u oscuras,2021,0
Maitane Mazmela Etxabe (0000-0003-0848-2131),Preferencias y asociaciones de las personas usuarias ante interfaces claras u oscuras,2021,0
Maitane Mazmela Etxabe (0000-0003-0848-2131),Aplicación de cuestionarios para la evaluación de la experiencia de usuario en entornos industriales,2021,0
Maitane Mazmela Etxabe (0000-0003-0848-2131),Interface design and its impact on software appropriation,2021,0
Maitane Mazmela Etxabe (0000-0003-0848-2131),El diseño de interfaz y su impacto en la apropiación del software,2021,0
Maitane Mazmela Etxabe (0000-0003-0848-2131),Factores críticos de las interfaces industriales para la digitalización de la industria,2020,0
Maitane Mazmela Etxabe (0000-0003-0848-2131),The experiential component for technological appropriation,2019,0
