Author Name,Title,Year,Citations
Regine Gilbert,Inclusive Design for a Digital World: Designing with accessibility in mind,2019,73
Regine Gilbert,"Accessibility, Content, HTML, JavaScript, CSS, and the Land of Accessible Rich Internet Applications",2019,2
Regine Gilbert,Planning and Implementing Inclusive Designs,2019,2
Regine Gilbert,Designing with Accessibility in Mind,2019,1
Regine Gilbert,Inclusive Design Research,2019,1
Regine Gilbert,Building a Vision for the Future: Design Strategies for Accessibility,2019,1
Regine Gilbert,Beyond the Web,2019,0
Regine Gilbert,Compliance and Accessibility,2019,0
Regine Gilbert,"If It’s Annoying, It’s Probably not Accessible",2019,0
Regine Gilbert,Usability Testing,2019,0
Regine Gilbert,Assistive Technologies,2019,0
Regine Gilbert,Inclusive Design for a Digital,N/A,0
Tehreem Qamar,Integrating healthcare services using blockchain-based telehealth framework,2022,19
Tehreem Qamar,Smart city services ontology (SCSO): semantic modeling of smart city applications,2019,18
Tehreem Qamar,A cyber security ontology for smart city,2020,11
Tehreem Qamar,Impact of COVID-19 on higher education in Pakistan: an exploratory study,2021,8
Tehreem Qamar,Passwords and User Behavior.,2018,8
Tehreem Qamar,CareD: non-pharmacological assistance for dementia patients,2018,5
Tehreem Qamar,Agri-PAD: A scalable framework for smart agriculture,2023,4
Tehreem Qamar,Usability and Accessibility Evaluation of Pakistan’s E-commerce Sites,2015,4
Tehreem Qamar,SMARTABLE-Digital Ordering System for Restaurant Using Android,2019,2
Tehreem Qamar,Report_It: Citizen Centric Approach towards e-Governance,2018,1
Tehreem Qamar,Understanding the black-box: towards interpretable and reliable deep learning models,2023,0
Tehreem Qamar,IoTree: A Way Towards Smart Plantation,2021,0
Tehreem Qamar,EDAMS: Efficient Data Anonymization Model Selector for Privacy-Preserving Data Publishing.,2020,0
Tehreem Qamar,Identity Lock–Privacy-Preserving Data Publishing Tool,2019,0
Tehreem Qamar,Evaluating text classification with explainable artificial intelligence,N/A,0
Tehreem Qamar,Impacto del COVID-19 en la Educación Superior en Pakistán: un estudio exploratorio Impact of COVID-19 on Higher Education in Pakistan: An Exploratory Study,N/A,0
Gabriela Amaral Araujo de Oliveira,Accessibility of the smart home for users with visual disabilities: an evaluation of open source mobile applications for home automation,2016,38
Gabriela Amaral Araujo de Oliveira,Opportunities and accessibility challenges for open-source general-purpose home automation mobile applications for visually disabled users,2022,13
Gabriela Amaral Araujo de Oliveira,GrubiBots Educacional: jogo para o ensino de algoritmos na educação básica,2014,12
Gabriela Amaral Araujo de Oliveira,A study on the needs of older adults for interactive smart home environments in Brazil,2018,11
Gabriela Amaral Araujo de Oliveira,An exploratory analysis of interactive systems for introducing programming based on cultural viewpoint metaphors,2018,3
Gabriela Amaral Araujo de Oliveira,Accessibility of the smart home for users with visual disabilities,N/A,3
Gabriela Amaral Araujo de Oliveira,Using cultural viewpoint metaphors in the analysis of computational thinking teaching,2019,0
Gabriela Amaral Araujo de Oliveira,Avaliação Conjunta de Facilidade de Uso em Aplicativos Móveis para Apoio à Participação em Eventos,2018,0
Maira kamran,Artificial intelligence in medicine,2021,19
Maira kamran,Determination of COVID-19 Patients Using Machine Learning Algorithms.,2022,17
Maira kamran,Mesenchymal stem cell (MSC) viability on PVA and PCL polymer coated hydroxyapatite scaffolds derived from cuttlefish,2016,14
Maira kamran,A corpus-based analysis of EFL learners' errors in written composition at intermediate level,2019,11
Maira kamran,Web simplification prototype for cognitive disabled users,2022,9
Maira kamran,"Suitability of Thrips tabaci L. (Thysonaptera: Thripidae) as prey for the phytoseiid mite, Neoseiulus barkeri Hughes (Acari: Phytoseiidae)",2018,9
Maira kamran,Stock Exchange Prediction through Regression Technique,2021,1
Maira kamran,An Empirical Study of Facial Expression Recognition Methods,2022,0
