Author Name,Title,Year,Citations
Gaurav Trivedi,NLPReViz: an interactive tool for natural language processing on clinical text,2017,42
Gaurav Trivedi,Interactive NLP in clinical care: identifying incidental findings in radiology reports,2019,26
Gaurav Trivedi,Applying an interactive machine learning approach to statutory analysis,2015,19
Gaurav Trivedi,Identifying incidental findings from radiology reports of trauma patients: an evaluation of automated feature representation methods,2019,15
Gaurav Trivedi,An interactive tool for natural language processing on clinical text,2017,11
Gaurav Trivedi,Clinical text analysis using interactive natural language processing,2015,5
Gaurav Trivedi,Towards interactive natural language processing in clinical care,2018,2
Gaurav Trivedi,An interactive NLP tool for signout note preparation,2018,2
Gaurav Trivedi,Supporting collaboration in Wikipedia between language communities,2012,2
Gaurav Trivedi,Recovery profile clustering to determine treatment protocol and predict resourcing needs,2021,1
Gaurav Trivedi,System and method for providing personalized recommendations for daily stress management based on user response history and data from wearables,2021,1
Gaurav Trivedi,Macro/micro-structure of sleep and similar states of consciousness to optimize pain treatment,2023,0
Gaurav Trivedi,System and method for obstructive sleep apnea (OSA) prevention and positive airway pressure (PAP) therapy weaning,2022,0
Gaurav Trivedi,System and method for osa prevention and pap therapy weaning,2022,0
Gaurav Trivedi,System and method for determining and providing personalized pap therapy recommendations for a patient,2022,0
Gaurav Trivedi,System and method for determining and providing personalized pap therapy recommendations for a patient,2022,0
Gaurav Trivedi,Groupement de profils de rétablissement pour déterminer un protocole de traitement et prédire des besoins de ressources,2021,0
Gaurav Trivedi,System and method for bed partner mediated sleep disorder treatment program,2021,0
Gaurav Trivedi,Detecting undiagnosed sleep disordered breathing using daytime sleepiness and nighttime obstructive sleep apnea (OSA) severity,2021,0
Gaurav Trivedi,Detecting undiagnosed sleep disordered breathing using daytime sleepiness and nighttime obstructive sleep apnea (osa) severity,2021,0
Gaurav Trivedi,System and method for providing personalized recommendations for daily stress management based on user response history and data from wearables,2021,0
Gaurav Trivedi,System and method for bed partner mediated sleep disorder treatment program,2021,0
Gaurav Trivedi,Cluster and classification analysis of sleep apnea phenotypes,2021,0
Gaurav Trivedi,Interactive Natural Language Processing for Clinical Text,2019,0
Gaurav Trivedi,An Application of Learning from Multiple Annotators,2014,0
Gaurav Trivedi,Learning from Multiple Annotators,2014,0
Gaurav Trivedi,Wikipedia in Psychology Classroom,2011,0
Gaurav Trivedi,System and method for OSA prevention and pap therapy weaning,N/A,0
Gaurav Trivedi,Bridging the Natural Language Processing Gap: An Interactive Clinical Text Review Tool,N/A,0
Phil McClelland,Exploring automation in digital tabletop board game,2012,54
Phil McClelland,Visual and code views in a process workflow user interface,2020,22
Phil McClelland,Cross-device transfer in a collaborative multi-surface environment without user identification,2014,16
Phil McClelland,Investigating communication and social practices in real-time strategy games: Are in-game tools sufficient to support the overall gaming experience?,2011,13
Phil McClelland,Solar scramble: an educational children's game for collaborative multi-touch digital tabletops,2010,9
Phil McClelland,Bridging private and shared interaction surfaces in co-located group settings,2012,5
Phil McClelland,Bridging private and shared interaction surfaces in collocated groupware,2013,3
Phil McClelland,Designing and assessing a multi-user tabletop interface to support collaborative decision-making involving dynamic geospatial data,2010,3
Phil McClelland,Comparing visual feedback techniques for object transfer between private and shared surfaces,2013,1
Phil McClelland,Functional and Code Views In a Process Workflow,2024,0
Phil McClelland,Functional and code views in a process workflow,2023,0
Phil McClelland,Functional and code views in a process workflow,2022,0
Leantros Kyriakoullis,Culture and HCI: a review of recent cultural studies in HCI and social networks,2016,62
Leantros Kyriakoullis,Globalisation vs. localisation in e-commerce: cultural-aware interaction design,2006,52
Leantros Kyriakoullis,Culture and E-Commerce; A Case Study for Cyprus,2012,10
Leantros Kyriakoullis,Using phenomenography to understand cultural values in Facebook,2017,2
Leantros Kyriakoullis,"Culture, User Behaviour and Interaction in Online Social Networks (OSNs)",2022,0
Leantros Kyriakoullis,Culture and E-commerce: A Cross-country Comparison,2005,0
Dr. Matthias Wunsch,What makes you bike? Exploring persuasive strategies to encourage low-energy mobility,2015,52
Dr. Matthias Wunsch,Gamification and social dynamics behind corporate cycling campaigns,2016,35
Dr. Matthias Wunsch,Challenged to bike: Assessing the potential impact of gamified cycling initiatives,2016,16
Dr. Matthias Wunsch,Gamification and social dynamics: Insights from a corporate cycling campaign,2016,15
Dr. Matthias Wunsch,Empowering Cities for Sustainable Wellbeing.,2016,5
Dr. Matthias Wunsch,Complex Contexts and Subtle Actions: Design and Evaluation of a Virtual Coach for Utilitarian Cycling,2021,2
Dr. Matthias Wunsch,Exploring Technologies that Encourage Adoption of Biking as a Sustainable Urban Mobility Practice,2016,1
Dr. Matthias Wunsch,Promoting Uptake of Utilitarian Cycling Through Digital Technology,2022,0
Dr. Matthias Wunsch,Evaluation of Interactive Systems for Cyclists Using Wizard of Oz Prototypes In The Wild,2021,0
