Author Name,Title,Year,Citations
Yuxuan Huang,Sequential restorations of complex networks after cascading failures,2018,58
Yuxuan Huang,Sequential node/link recovery strategy of power grids based on q-learning approach,2019,17
Yuxuan Huang,Sequential attacker–defender game on complex networks considering the cascading failure process,2021,9
Yuxuan Huang,DBA: Direction-Based Authentication in Virtual Reality,2023,0
Tong Steven Sun,Gnes: Learning to explain graph neural networks,2021,28
Tong Steven Sun,Aligning eyes between humans and deep neural network through interactive attention alignment,2022,27
Tong Steven Sun,Res: A robust framework for guiding visual explanation,2022,25
Tong Steven Sun,Designing a Direct Feedback Loop between Humans and Convolutional Neural Networks through Local Explanations,2023,4
Tong Steven Sun,3DPFIX: Improving Remote Novices' 3D Printing Troubleshooting through Human-AI Collaboration,2024,0
Tong Steven Sun,Some Properties of the Pyramidal Distribution,2018,0
Farhat-Ul-Ain,A Systematic Review of the Evidence Supporting Mobile‐and Internet‐Based Psychological Interventions For Self‐Harm,2020,80
Farhat-Ul-Ain,Personal Belief in a Just World and Self â€“Compassion as Predictors of Body Appreciation in Individuals with Amputation Using and not Using Prosthesis,2016,4
Farhat-Ul-Ain,Mapping Design Frameworks for Digital Behaviour Change Interventions to Goal-Directed Design,2023,0
Farhat-Ul-Ain,Towards Adapting Questionnaires for Long-Term Online Dynamic Monitoring of Patients,2022,0
Farhat-Ul-Ain,Digital Self-monitoring to Improve Perceptions regarding Physical Activity: A Case of Quantifying Self with University Students. Springer (Accepted Poster Paper).,2022,0
Farhat-Ul-Ain,Mapping Behavior Change Wheel Techniques to Digital Behavior Change Interventions: A Review. Springer (Accepted),2022,0
Farhat-Ul-Ain,Lived experiences of irritable bowel syndrome and role of culturally adapted Cognitive Behavior Therapy (CBT): A mixed methods study,2019,0
Zenah M AlKubaisy,A novel technique for early detection of COVID-19,2021,20
Zenah M AlKubaisy,Appraisal of information and communications technologies on the teaching process by neuro fuzzy logic,2022,17
Zenah M AlKubaisy,"Exploring the role of leadership, work environment, it alignment and company performance on the digital transformation: a study on the private sector companies in western …",2022,17
Zenah M AlKubaisy,A techno-economic planning model for integrated generation and transmission expansion in modern power systems with renewables and energy storage using hybrid Runge Kutta …,2022,16
Zenah M AlKubaisy,Integration of computer-based technology in smart environment in an EFL structures,2022,5
Zenah M AlKubaisy,Hybrid Hunter–Prey Optimization with Deep Learning-Based Fintech for Predicting Financial Crises in the Economy and Society,2023,3
Zenah M AlKubaisy,Role of Social Media Marketing in the Development of Users' Attitudes towards Tourism in Saudi Arabia,2022,3
Zenah M AlKubaisy,Factors Influencing Blockchain Technologies Adoption in Supply Chain Management and Logistic Sectors: Cultural Compatibility of Blockchain Solutions as Moderator,2023,1
Zenah M AlKubaisy,Chaotic Metaheuristics with Multi-Spiking Neural Network Based Cloud Intrusion Detection,2023,1
Zenah M AlKubaisy,Impact of COVID-19 on Online Food Channels and Consumer Behavior in Saudi Arabia,2022,1
Zenah M AlKubaisy,Binary Hunter–Prey Optimization with Machine Learning—Based Cybersecurity Solution on Internet of Things Environment.,2023,0
Zenah M AlKubaisy,Golden Jackal Optimization with Deep Learning based Cybersecurity Solution in Industrial Internet of Things Systems,2023,0
Christina Bremer,Have We Taken On Too Much?: A Critical Review of the Sustainable HCI Landscape,2022,66
Christina Bremer,Not (b) interested? using persuasive technology to promote sustainable household recycling behavior,2020,6
Christina Bremer,HCI for climate change: Imagining sustainable futures,2023,4
Christina Bremer,How Viable are Energy Savings in Smart Homes? A Call to Embrace Rebound Effects in Sustainable HCI,2023,3
Christina Bremer,When mental models grow (c) old: a cognitive perspective on home heating automation,2020,2
Christina Bremer,Assessing energy and climate effects of digitalization: Methodological challenges and key recommendations,2023,1
Christina Bremer,Not (B) interested? Using Persuasive Technology to Promote Sustainable Household Recycling Behaviour: An Identification and Implementation of Key Elements with Focus on Young …,2018,1
Christina Bremer,Patient identification using a near-infrared laser scanner,2017,1
Christina Bremer,Imagining Sustainable Futures: Expanding the Discussion on Sustainable HCI,2024,0
Christina Bremer,COVID-19 as an Energy Intervention: Lockdown Insights for HCI,2023,0
Christina Bremer,A Smart Approach? Raising Uncomfortable Questions about Building Automation in the Workplace.,2021,0
Christina Bremer,Designing for Decision Makers in Net Zero Futures,N/A,0
Jie Zhang,3DGAM: using 3D gesture and CAD models for training on mixed reality remote collaboration,2021,51
Jie Zhang,SHARIDEAS: a smart collaborative assembly platform based on augmented reality supporting assembly intention recognition,2021,14
Jie Zhang,Augmented reality material management system based on post-processing of aero-engine blade code recognition,2022,8
Jie Zhang,Projected augmented reality assembly assistance system supporting multi-modal interaction,2022,5
Jie Zhang,Material kitting in selective assembly: A manual order picking system based on augmented reality,2022,2
Jie Zhang,基于 MBD 的检测设备资源分配优化的研究,2019,2
Jie Zhang,面向数字化检测的尺寸标注自动规范方法,2018,2
Jie Zhang,Perception and Decision-Making for Multi‑Modal Interaction Based on Fuzzy Theory in the Dynamic Environment,2023,0
Jie Zhang,Research on Projection Interaction Based on Gesture Recognition,2021,0
Jie Zhang,Intelligent detection and AR guidance of aero-engine blade assembly execution process,N/A,0
Jie Zhang,航空发动机叶片装配执行过程智能检测及 AR 引导,N/A,0
David Bonnet,Extending the Vocabulary of Touch Events with ThumbRock,2013,35
David Bonnet,SPad: a bimanual interaction technique for productivity applications on multi-touch tablets,2014,18
David Bonnet,Coordination of tilt and touch in one-and two-handed use,2014,17
David Bonnet,Sam: the swiss army menu,2011,13
Matthias Schulz,"All users are (not) equal-the influence of user characteristics on perceived quality, modality choice and performance",2011,50
Matthias Schulz,Modality preferences of different user groups,2012,15
