Author Name,Title,Year,Citations
Adel Sulaiman,Ternion: An autonomous model for fake news detection,2021,38
Adel Sulaiman,Cloud-based fault prediction for real-time monitoring of sensor data in hospital environment using machine learning,2022,26
Adel Sulaiman,Smart healthcare management evaluation using fuzzy decision making method,2021,23
Adel Sulaiman,Detection of pneumonia from chest X-ray images utilizing mobilenet model,2023,21
Adel Sulaiman,Sustainability in blockchain: A systematic literature review on scalability and power consumption issues,2023,18
Adel Sulaiman,Reliable requirements engineering practices for COVID-19 using blockchain,2021,18
Adel Sulaiman,Empirical assessment of machine learning techniques for software requirements risk prediction,2021,17
Adel Sulaiman,A machine learning based data modeling for medical diagnosis,2023,15
Adel Sulaiman,Pixel level segmentation based drivable road region detection and steering angle estimation method for autonomous driving on unstructured roads,2021,15
Adel Sulaiman,Fault prediction recommender model for IoT enabled sensors based workplace,2023,14
Adel Sulaiman,Blockchain in churn prediction based telecommunication system on climatic weather application,2022,13
Adel Sulaiman,Energy-efficient dynamic and adaptive state-based scheduling (EDASS) scheme for wireless sensor networks,2022,13
Adel Sulaiman,Sentiment analysis of roman Urdu on e-commerce reviews using machine learning,2022,12
Adel Sulaiman,Secure telemedicine system design for covid-19 patients treatment using service oriented architecture,2022,11
Adel Sulaiman,A convolutional neural network architecture for segmentation of lung diseases using chest X-ray images,2023,10
Adel Sulaiman,"Detection of cyberbullying patterns in low resource colloquial roman urdu microtext using natural language processing, machine learning, and ensemble techniques",2023,10
Adel Sulaiman,Tele-COVID: A Telemedicine SOA-Based Architectural Design for COVID-19 Patients.,2021,10
Adel Sulaiman,Detection of multitemporal changes with artificial neural network-based change detection algorithm using hyperspectral dataset,2023,9
Adel Sulaiman,Accessibility evaluation of Arabic University websites for compliance with success criteria of WCAG 1.0 and WCAG 2.0,2023,8
Adel Sulaiman,An augmented reality PQRST based method to improve self-learning skills for preschool autistic children,2023,8
Adel Sulaiman,Artificial Intelligence-Based Secured Power Grid Protocol for Smart City,2023,7
Adel Sulaiman,Research challenges and opportunities towards a holistic view of telemedicine systems: a systematic review,2021,7
Adel Sulaiman,Time and quantity based hybrid consolidation algorithms for reduced cost products delivery,2021,6
Adel Sulaiman,Enhanced Prediction Models for Predicting Spatial Visualization (VZ) in Address Verification Task.,2019,6
Adel Sulaiman,A Robust Heart Disease Prediction System Using Hybrid Deep Neural Networks,2023,5
Adel Sulaiman,Intrusion detection framework for industrial internet of things using software defined network,2023,5
Adel Sulaiman,Fitness-based acceleration coefficients binary particle swarm optimization (FACBPSO) to solve the discounted knapsack problem,2022,5
Adel Sulaiman,Extracting useful UI features for users with different levels of spatial visualization,2018,5
Adel Sulaiman,Enhancing Breast Cancer Detection and Classification Using Advanced Multi-Model Features and Ensemble Machine Learning Techniques,2023,4
Adel Sulaiman,An intelligent attention-based transfer learning model for accurate differentiation of bone marrow stains to diagnose hematological disorder,2023,4
Adel Sulaiman,ResRandSVM: Hybrid Approach for Acute Lymphocytic Leukemia Classification in Blood Smear Images,2023,4
Adel Sulaiman,Toward a better understanding of academic programs educational objectives: A data analytics-based approach,2021,4
Adel Sulaiman,Objectindexing: A solution to grant accessibility to a traditional raster map in location-based application to accomplish a location-based task,2018,4
