Author Name,Title,Year,Citations
Arthur Fleig,Optimal control of the Fokker–Planck equation with space-dependent controls,2017,50
Arthur Fleig,Reinforcement learning control of a biomechanical model of the upper extremity,2021,38
Arthur Fleig,Estimates on the minimal stabilizing horizon length in model predictive control for the Fokker-Planck equation,2016,14
Arthur Fleig,OptiTrap: Optimal trap trajectories for acoustic levitation displays,2022,12
Arthur Fleig,Bilinear optimal control of the Fokker-Planck equation,2016,11
Arthur Fleig,Optimal Feedback Control for Modeling Human–Computer Interaction,2022,10
Arthur Fleig,What simulation can do for HCI research,2022,9
Arthur Fleig,L 2-Tracking of Gaussian Distributions via Model Predictive Control for the Fokker–Planck Equation,2018,9
Arthur Fleig,Some results on model predictive control for the Fokker-Planck equation,2014,9
Arthur Fleig,Breathing Life Into Biomechanical User Models,2022,8
Arthur Fleig,Model Predictive Control for the Fokker--Planck Equation,2021,6
Arthur Fleig,An Optimal Control Model of Mouse Pointing Using the LQR,2020,6
Arthur Fleig,On Dissipativity of the Fokker–Planck Equation for the Ornstein–Uhlenbeck Process,2019,5
Arthur Fleig,Simulating Interaction Movements via Model Predictive Control,2023,3
Arthur Fleig,Strict dissipativity analysis for classes of optimal control problems involving probability density functions,2021,1
Arthur Fleig,"Towards a Deep (er) Understanding of Interaction through Modeling, Simulation, and Optimization",2023,0
Arthur Fleig,Simulating Mid-Air Interaction Trajectories via Model Predictive Control,2022,0
Arthur Fleig,Content Rendering for Acoustic Levitation Displays via Optimal Path Following,2022,0
Arthur Fleig,Strict dissipativity analysis for classes of optimal control problems involving probability density functions,2019,0
Arthur Fleig,Model Predictive Control for the Fokker-Planck equation: analysis and structural insight,2016,0
Arthur Fleig,Modellreduktion mittels Proper Orthogonal Decomposition,2012,0
Matías Espinoza,Audio haptic videogaming for navigation skills in learners who are blind,2011,32
Matías Espinoza,Audio haptic videogaming for developing wayfinding skills in learners who are blind,2014,22
Matías Espinoza,Mobile Navigation through a Science Museum for Users Who Are Blind,2014,19
Matías Espinoza,Enhancing orientation and mobility skills in learners who are blind through video gaming,2013,15
Matías Espinoza,Videogaming interaction for mental model construction in learners who are blind,2014,13
Matías Espinoza,Videogaming for wayfinding skills in children who are blind,2012,12
Matías Espinoza,Accessibility for people who are blind in public transportation systems,2013,11
Matías Espinoza,Modelo de videojuegos para mejorar habilidades matemático-geométricas en aprendices ciegos,2012,11
Matías Espinoza,Chilean higher education entrance examination for learners who are blind,2012,8
Matías Espinoza,Designing serious videogames through concept maps,2013,7
Matías Espinoza,Modeling videogames for mental mapping in people who are blind,2014,6
Matías Espinoza,"mGuides, design and usability of a mobile system to assist learning in critical situations",2011,6
Matías Espinoza,Video Game Design for Mobile Phones,2010,6
Matías Espinoza,Desarrollo de juego educativo RPG en teléfonos móviles,2009,6
Matías Espinoza,Multimodal gaming for navigation skills in players who are blind,2014,5
Matías Espinoza,Design and usability evaluation of an audio-based college entrance exam for students with visual disabilities,2014,5
Matías Espinoza,MOVAWii: Videojuego para la movilidad y orientación en aprendices ciegos,2012,3
Matías Espinoza,Ejemovil: A Web-Based Tool to Create Mobile Learning Videogames,2011,2
Matías Espinoza,"mGuías, sistema de guías educativas móviles",2011,1
Matías Espinoza,Usability and Redesign of a University Entrance Test Based on Audio for Learners Who Are Blind,2016,0
Matías Espinoza,Tecnologías basadas en audio para la navegación de aprendices con discapacidad visual en la ciudad,2013,0
Matías Espinoza,Videojuego para la construcción de un modelo mental de un sistema de referencias para personas ciegas,2013,0
Matías Espinoza,Materiales de Aprendizaje Móvil en Contextos Críticos - Mobile Learning Material in Critical Contexts,2011,0
Conrad Arcturus Nied,Drawing the lines of contention: Networked frame contests within# BlackLivesMatter discourse,2017,101
Conrad Arcturus Nied,Alternative narratives of crisis events: Communities and social botnets engaged on social media,2017,41
Conrad Arcturus Nied,Prefab layers and prefab annotations: extensible pixel-based interpretation of graphical interfaces,2014,29
Conrad Arcturus Nied,Rules from words: a dynamic neural basis for a lawful linguistic process,2014,12
Conrad Arcturus Nied,Predicting Bus Arrivals Using One Bus Away Real-Time Data,2014,7
Conrad Arcturus Nied,Lessons Launching Dozens of New Languages in a UI,2023,0
Conrad Arcturus Nied,Values and Argumentation in the Living Voters Guide,N/A,0
John Sadauskas,CritViz: Web-based software supporting peer critique in large creative classrooms,2013,76
John Sadauskas,Fostering early literacy skills in children's libraries: opportunities for embodied cognition and tangible technologies,2012,22
John Sadauskas,Mining memories: Designing a platform to support social media based writing,2015,14
John Sadauskas,Digital culture creative classrooms (DC3) teaching 21st century proficiencies in high schools by engaging students in creative digital projects,2013,12
John Sadauskas,Personalized automatic content aggregation generation,2020,11
John Sadauskas,Toward social media based writing,2013,10
John Sadauskas,Interface-based automated aggregated content generation,2018,9
John Sadauskas,Systems and methods for automated aggregated content comment generation,2018,9
John Sadauskas,Personalized content aggregation presentation,2017,8
John Sadauskas,CritViz: A network peer critique structure for large classrooms,2013,8
John Sadauskas,Facebook usage patterns looking into the mind via the ICAP engagement framework,2023,4
John Sadauskas,An engineering and educational technology team approach to introducing new unsaturated soils mechanics material into introductory undergraduate geotechnical engineering courses,2013,3
John Sadauskas,"Improving adolescent writing quality and motivation with Sparkfolio, a social media based writing tool",2014,2
John Sadauskas,Systems and methods for automated aggregated content comment generation,2018,1
John Sadauskas,Designing and Validating Learner-Centered Experiences,2018,1
John Sadauskas,System and method for automated aggregated content comment provisioning,2019,0
John Sadauskas,Systems and methods for automated aggregated content comment generation,2019,0
John Sadauskas,Systems and methods for automated aggregated content comment generation,2018,0
John Sadauskas,Constructing an Embodied Interaction for Concept Mapping,2013,0
ZhengQing Li,BEAT: A Large-Scale Semantic and Emotional Multi-Modal Dataset for Conversational Gestures Synthesis,2022,66
ZhengQing Li,Qoom: An interactive omnidirectional ball display,2017,29
ZhengQing Li,OmniGlobe: An interactive I/O system for symmetric 360-degree video communication,2019,18
ZhengQing Li,Disco: Disentangled implicit content and rhythm learning for diverse co-speech gestures synthesis,2022,17
ZhengQing Li,How display shapes affect 360-degree panoramic video communication,2018,15
ZhengQing Li,Omnieyeball: Spherical display embedded with omnidirectional camera using dynamic spherical mapping,2016,12
ZhengQing Li,Omniglobevr: A collaborative 360-degree communication system for vr,2020,11
ZhengQing Li,OmniEyeball: Spherical display equipped with omnidirectional camera and its application for 360-degree video communication,2018,6
ZhengQing Li,Comparing immersiveness and perceptibility of spherical and curved displays,2021,5
ZhengQing Li,OmniGlobeVR: A collaborative 360 communication system for VR,2020,5
ZhengQing Li,Immersiveness and perceptibility of convex and concave displays,2019,4
ZhengQing Li,OmniEyeball: An Interactive I/O Device For 360-Degree Video Communication,2018,2
ZhengQing Li,OmniGlobe,2019,0
ZhengQing Li,Impact of Display Shapes on Symmetric 360° Video Communication For Remote Collaboration,2019,0
ZhengQing Li,Qoom,2017,0
ZhengQing Li,OmniEyeball,2016,0
Zain Tariq,Job opportunities through entertainment: Virally spread speech-based services for low-literate users,2013,80
Zain Tariq,Baang: A viral speech-based social platform for under-connected populations,2018,39
Zain Tariq,The barriers to overthrowing internet feudalism,2017,21
Zain Tariq,Rapid Collection of Spontaneous Speech Corpora Using Telephonic Community Forums.,2018,16
Zain Tariq,Voice-Based Quizzes for Measuring Knowledge Retention in Under-Connected Populations,2019,13
Zain Tariq,Spread and sustainability: The geography and economics of speech-based services,2013,7
Zain Tariq,Planning epidemic interventions with EpiPolicy,2021,5
Zain Tariq,Performance prediction of hybrid bamboo-reinforced concrete beams using gene expression programming for sustainable construction,2023,4
Zain Tariq,Epipolicy: A tool for combating epidemics,2022,3
Zain Tariq,Comparative analysis of flexural capacity of bamboo reinforced and conventional steel reinforced concrete beams through numerical evaluation,2023,1
Zain Tariq,Usage and Feedback from a 3-Week Launch of a Maternal Health Line for Men in Pakistan,2018,1
Zain Tariq,Migration in the Stencil Pluralist Cloud Architecture,2021,0
Wong Pui Chung,Tiptext: Eyes-free text entry on a fingertip keyboard,2019,69
Wong Pui Chung,Fingert9: Leveraging thumb-to-finger interaction for same-side-hand text entry on smartwatches,2018,64
Wong Pui Chung,Back-mirror: Back-of-device one-handed interaction on smartphones,2016,29
Wong Pui Chung,Exploring eyes-free bezel-initiated swipe on round smartwatches,2020,21
Wong Pui Chung,fingerT9: leveraging thumb-to-finger interaction for one-handed text entry on smartwatches,2017,6
Wong Pui Chung,Recognition of Gestures over Textiles with Acoustic Signatures,2021,1
Wong Pui Chung,The Acoustic Change Complex As A Non-Invasive Objective Measure Of Binaural Sensitivity,2023,0
Michael Mauderer,Depth Perception with Gaze-contingent Depth of Field,2014,90
Michael Mauderer,Let's play my way: Investigating audience influence in user-generated gaming live-streams,2017,57
Michael Mauderer,Gaze-contingent manipulation of color perception,2016,15
Michael Mauderer,Is autostereoscopy useful for handheld AR?,2013,11
Michael Mauderer,Combining Touch and Gaze for Distant Selection in a Tabletop Setting,2013,10
Michael Mauderer,Reading small scalar data fields: Color scales vs. detail on demand vs. fatfonts,2017,3
Michael Mauderer,Beyond Accessibility: Lifting Perceptual Limitations for Everyone,2017,1
Michael Mauderer,Augmenting visual perception with gaze-contingent displays,2017,1
Michael Mauderer,Using Gaze-Contingent Depth of Field to Facilitate Depth Perception,2014,1
Michael Mauderer,Modeling Perceived Screen Resolution Based on Position and Orientation of Wrist-Worn Devices,2018,0
Michael Mauderer,Utility of Gaze-contingent DOF Blur for Depth Perception,2013,0
Antonio Otero Franco,Realidad virtual: Un medio de comunicación de contenidos. Aplicación como herramienta educativa y factores de diseño e implantación en museos y espacios públicos,2011,82
Antonio Otero Franco,Sistemas de información medioambiental,2003,80
Antonio Otero Franco,Exploración en tiempo real de la reconstrucción virtual de los instrumentos del Pórtico de la Gloria,2012,8
Antonio Otero Franco,"Sistemas de Visualización Inmersiva, Interactivos y de bajo coste en Museos y Espacios Públicos",2010,7
Antonio Otero Franco,Rule-based intelligent monitoring and control of marc brandy stills,2006,4
Antonio Otero Franco,Pórtico de la Gloria Virtual,2012,2
Antonio Otero Franco,Simulación virtual de una tradición medieval: O'Botafumeiro',2007,2
Antonio Otero Franco,Diseño e implementación de una experiencia audiovisual colectiva inmersiva con fines educacionales,2003,2
Antonio Otero Franco,La Torre de Hércules: Un paseo a través del tiempo y el espacio,2010,1
Antonio Otero Franco,"Exposiciones interactivas, caso de estudio: Galicia Dixital",2007,1
Antonio Otero Franco,Exploración en tiempo real de la reconstrucción virtual de los instrumentos del Pórtico de la Gloria,2012,0
Antonio Otero Franco,Aplicaciones de realidad virtual y visualización inmersiva e interactiva basadas en arquitectura pc: desarrollo de un marco de trabajo y factores de diseño e implantación en …,2010,0
Antonio Otero Franco,Aplicaciones de realidad virtual y visualización inmersiva e interactiva basadas en arquitectura pc,2010,0
Antonio Otero Franco,Aplicaciones de realidad virtual y visualización inmersiva e interactiva basadas en arquitectura pc: desarrollo de un marco de trabajo y factores de diseño e implantación en …,2010,0
Antonio Otero Franco,"Grupo MAR, Multimedia, Animación virtual Reality",2007,0
Antonio Otero Franco,"Simulación virtual de una tradición medieval: o"" botafumeiro""",2007,0
Antonio Otero Franco,En el Fondo de la Ría,2004,0
Antonio Otero Franco,Virtual Recreation of Real 3D Spaces through Internet Using Shockwave Technology.,2004,0
Antonio Otero Franco,Sistemas Inmersivos y Aplicaciones de Realidad Virtual,2003,0
Antonio Otero Franco,Una Aproximación a Sistemas Inmersivos Colectivos Basada en Arquitectura de Bajo Coste,N/A,0
Antonio Otero Franco,Interface gráfica escalable a tres niveles para la supervisión en tiempo real de medios aéreos para la lucha contra incendios forestales,N/A,0
Antonio Otero Franco,Simulación de personajes elásticos mediante FFD con volúmenes de Bézier,N/A,0
Antonio Otero Franco,Técnicas de Visualización Avanzada y Museística: Un Planetario Virtual.,N/A,0
Nor Zuhaidah Mohamed Zain,The effects of edutainment towards students’ achievements,2010,38
Nor Zuhaidah Mohamed Zain,DEVELOPING A CONCEPTUAL MODEL OF LEARNING ANALYTICS IN SERIOUS GAMES FOR STEM EDUCATION,2020,25
Nor Zuhaidah Mohamed Zain,Utilization of mobile apps among student with learning disability from Islamic perspective,2013,21
Nor Zuhaidah Mohamed Zain,"Pembangunan Perisian Kursus"" SAYA SUKA BELAJAR"" untuk Pembelajaran Bahasa Melayu bagi Kanak-kanak Autisme",2016,20
Nor Zuhaidah Mohamed Zain,AR-SIS: AUGMENTED REALITY APPLICATION TO ENCOURAGE STEM TEACHING AND LEARNING,2018,16
Nor Zuhaidah Mohamed Zain,Online learning for vocational education: Uncovering emerging themes on perceptions and experiences,2022,13
Nor Zuhaidah Mohamed Zain,A simple survey on attitude of computer science diploma students towards STEM,2019,11
Nor Zuhaidah Mohamed Zain,Keberkesanan modul multimedia kimia organik: Mekanisme tindak balas SN1 dan SN2,2013,9
Nor Zuhaidah Mohamed Zain,Development of Rubric to Measure Children's 21 st Century Skills in Digital Game-Based Learning,2019,7
Nor Zuhaidah Mohamed Zain,Keupayaan Murid Sekolah Rendah Mempelajari dan Menerokai Bahasa Pengaturcaraan Visual: Capability of Primary School Pupils in Learning and Exploring Visual Programing Language,2016,7
Nor Zuhaidah Mohamed Zain,The effectiveness of multimedia organic chemistry module: SN1 AND SN2 reaction mechanism,2013,6
Nor Zuhaidah Mohamed Zain,Analysis of game elements in digital educational game according to Gagne nine events of instruction,2019,4
