Author Name,Title,Year,Citations
Mustafa Madni,Motion sickness in virtual reality: An empirical evaluation,2020,101
Mustafa Madni,The impact of scope creep on project success: An empirical investigation,2020,43
Mustafa Madni,"State-of-the-art traditional to the machine-and deep-learning-based skull stripping techniques, models, and algorithms",2020,38
Mustafa Madni,An empirical study to investigate the impact of communication issues in GSD in Pakistan’s IT industry,2019,29
Mustafa Madni,U-Net based glioblastoma segmentation with patient’s overall survival prediction,2020,16
Mustafa Madni,Identification and analysis of factors influencing turnover intention of Pakistan IT professionals: An empirical study,2022,11
Mustafa Madni,Multi‐level dilated convolutional neural network for brain tumour segmentation and multi‐view‐based radiomics for overall survival prediction,2021,11
Mustafa Madni,Automated 2D slice-based skull stripping multi-view ensemble model on NFBS and IBSR datasets,2022,8
Mustafa Madni,Identification of scope creep factors and their impact on software project success,2019,8
Mustafa Madni,Usability evaluation of orientation techniques for medical image analysis using tabletop system,2016,8
Mustafa Madni,A hybrid attention-based residual Unet for semantic segmentation of brain tumor,2023,7
Mustafa Madni,The identification of influential factors to evaluate the kids smartphone addiction: a literature review,2021,7
Mustafa Madni,An automatic gastric polyp detection technique using deep learning,2023,6
Mustafa Madni,Wiimote squash: comparing DTW and WFM techniques for 3D gesture recognition.,2014,6
Mustafa Madni,Applications of multi-touch tabletop displays and their challenging issues: An overview,2015,5
Mustafa Madni,Collaborative learning using tabletop and interactive whiteboard systems,2015,5
Mustafa Madni,Content-orientation for collaborative learning using tabletop surfaces,2013,5
Mustafa Madni,Brain tumor segmentation and multiview multiscale‐based radiomic model for patient's overall survival prediction,2022,4
Mustafa Madni,Comparative investigation of medical contents using desktop and tabletop technologies,2015,4
Mustafa Madni,3D Kronecker Convolutional Feature Pyramid for Brain Tumor Semantic Segmentation in MR Imaging.,2023,3
Mustafa Madni,The impact of mitigation strategies for socio-cultural distance issues in GSD: An empirical study,2023,3
Mustafa Madni,Geographical distance issues and their mitigation strategies in GSD: A systematic literature review towards conceptual framework,2021,3
Mustafa Madni,Usability dimensions for content-orientation techniques in multi-touch tabletop displays: an overview,2016,3
Mustafa Madni,Design of interactive whiteboard system for collaborative learning,2014,2
Mustafa Madni,The Temporal Distance Issues and their Mitigation Strategies in (GSD): A Systematic Literature Review,2021,1
Mustafa Madni,Accessibility of Social Media Application for Blinds,2021,1
Mustafa Madni,An accelerometer-based approach to evaluate 3D unistroke gestures.,2015,1
Mustafa Madni,Post hoc visual interpretation using a deep learning-based smooth feature network,2023,0
Mustafa Madni,An Empirical Study to Investigate the Impact of Factors Influencing Knowledge Sharing in Virtual Teams,2023,0
