Name,Affiliation,H-index,I10-index,Total Citations,Citations in Last 5 Years,Public Access Paper (Available),Public Access Paper (Not Available)
Horia A. Maior,"School of Computer Science, University of Nottingham",9,9,376,303,17,1
Kerwell Liao,"User Experience Researcher, Stripe",4,3,376,212,0,0
Miriam Greis,"VIS, University of Stuttgart",11,12,376,257,7,3
Alexandria K. Vail,"Ph.D. Student, Carnegie Mellon University",11,11,376,235,9,0
Marco Raoul Marini,"Sapienza, University of Rome",10,11,376,371,8,4
Ben Kaiser,"PhD student, Department of Computer Science, Princeton University",7,6,376,351,2,0
Artificial Intelligence and Applications,BON VIEW PUBLISHING,12,12,376,376,6,0
charlie pinder,"Currently at UKHSA, ex University of Birmingham",9,9,375,308,1,1
Anna-Maria Seeger,University of Mannheim,8,6,375,361,0,0
Nick Rewkowski,"University of Maryland at College Park, UNC-Chapel Hill",10,10,375,364,10,1
Radiah Rivu,Bundeswehr University Munich,9,9,375,375,7,1
Nigini Oliveira,"Postdoc Researcher of Computer Science, University of Washington",12,12,374,237,5,0
Andy Wu,"Georgia Institute of Technology, General Electric",11,15,374,109,0,0
Arminda Guerra Lopes,Instituto Politécnico de Castelo Branco; LARSyS/ITI,11,13,374,230,0,0
Catalin-Mihai Barbu,"Researcher, University of Duisburg-Essen",9,9,374,300,6,0
Khalil Roy-Klouche,Swiss Biobanking Platform,9,9,374,264,14,0
Adiyan Mujibiya,Yahoo! JAPAN,7,4,374,175,0,0
Cara Wilson,"Lecturer in Children and Technology, University of Edinburgh",10,13,374,351,6,0
Verena Distler,University of the Bundeswehr Munich,8,8,374,370,8,0
Fengyuan Zhu,"PhD, Dynamic Graphics Project, University of Toronto",8,8,374,338,2,0
Santiago Villarreal-Narvaez,Postdoctoral researcher at Université de Namur,11,11,374,357,3,0
Hiromi Nakamura,The University of Tokyo,10,11,373,217,0,2
Vito Gentile,"Senior Data Scientist, synbrAIn",12,14,373,271,12,0
Roland Aigner,"Researcher, Media Interaction Lab",9,9,373,266,3,0
Rebecca Fribourg,Ecole Centrale de Nantes / LS2N - PACCE team / External member of Hybrid team at Inria Rennes,7,7,373,366,5,0
Ye Tian,University of Science and Technology of China (USTC),9,9,373,373,6,9
Aboozar Eghdam,Director of User Experience Research & Design at Coupa Software,9,9,372,283,4,0
Anton Treskunov,Doxel.AI,9,9,372,110,0,0
Yulia Gizatdinova,Dr. of Interaction Technology,11,13,372,152,9,0
Danula Hettiachchi,"Lecturer, School of Computing Technologies, RMIT University",10,10,372,371,10,0
Pınar Barlas,Information Science PhD Student at Western University,9,9,372,371,18,1
James Abbott Eqdam,Director of User experience Research and Design,9,9,372,283,4,0
John R. Gersh,"Principal Engineer, Johns Hopkins University Applied Physics Laboratory",9,8,371,118,2,1
Kirralie Houghton,"PhD, Queensland University of Technology",8,7,371,249,0,0
