Name,Affiliation,H-index,I10-index,Total Citations,Citations in Last 5 Years,Public Access Paper (Available),Public Access Paper (Not Available)
Ehsan Azimi,Johns Hopkins University,15,25,998,767,10,6
John E. McEneaney,Professor Emeritus,16,23,998,171,0,0
George Margetis,"Institute of Computer Science, Foundation for Research and Technology - Hellas",18,34,998,663,23,7
Aishah Abdul Razak,"Assistant Professor of Visual and Digital Production, Effat University",10,12,998,660,0,0
Marion Koelle,"Research Group Lead, Personal Pervasive Computing Group, OFFIS - Institute for IT",17,22,997,836,17,3
Charlotte Tang,"Associate Professor, Computer Science, University of Michigan Flint",18,23,995,448,2,1
Advait Sarkar,Microsoft Research,15,27,995,858,11,1
Deepak Vembar,Intel ,18,33,995,817,0,0
Wolfgang Büschel,"Research Associate, Interactive Media Lab Dresden, Technische Universität Dresden",15,19,994,750,24,1
Ben Lafreniere,Facebook Reality Labs,20,30,993,585,5,0
Geremy Farr-Wharton,Edith Cowan University,9,9,993,752,6,0
Shoya Ishimaru,"Project Professor of Computer Science, Osaka Metropolitan University",16,22,993,617,9,2
Francisco Iniesto,Research Fellow at UNED,15,29,992,840,33,0
Scott A. King,"Professor, Department of Computing Sciences, Texas A&M University - Corpus Christi",19,26,992,410,9,1
Vagner Figueredo de Santana,IBM TJ Watson Research Center,13,19,991,646,0,0
Christian Remy,"Senior Research Associate, Lancaster University",16,24,991,805,14,3
nuno guimaraes,"CS Professor, ISCTE-University Institute of Lisbon",17,33,991,105,1,0
Thiago Barcelos,"Instituto Federal de Educação, Ciência e Tecnologia de São Paulo",17,22,989,699,2,0
Jorge Arroyo-Palacios,Sony Interactive Entertainment,13,15,987,743,10,0
Euan Freeman,Lecturer at University of Glasgow,16,28,986,832,25,1
Laurens De Vocht,Universiteit Gent,13,16,986,390,31,0
Tuomo Kujala,"Associate Professor (University of Jyväskylä), Adjunct Professor (University of Helsinki)",19,31,986,636,20,3
Fata Nidaul Khasanah,Universitas Bhayangkara Jakarta Raya,17,27,986,934,0,0
Scott Grissom,"Professor of Computer Science, Grand Valley State University",16,20,985,298,1,0
Yngve Dahl,"Department of Computer Science, Norwegian University of Science and Technology (NTNU)",19,31,985,442,9,1
Dr. Sabine Berghaus,Siemens Corporate Technology,10,10,984,887,0,0
Soraia Meneses Alarcão,"LASIGE, Informática, Faculdade de Ciências, Universidade de Lisboa",5,4,983,940,8,0
JP Carrascal,Microsoft,12,15,982,580,10,0
Ahmet Selman Bozkir,Hacettepe University - Dept. of Computer Engineering,14,18,982,611,0,0
Tuuli Keskinen,"Postdoctoral researcher, Tampere University",16,27,981,563,19,3
Jean-Sébastien Sottet,Luxembourg Institute of Science and Technology (LIST),17,26,980,214,3,0
Katja Rogers,"Assistant Professor, University of Amsterdam",18,26,980,868,12,4
Mark Grimes,University of Houston,13,14,979,872,2,0
Xiangmin Fan,Chinese Academy of Sciences(CAS); CAS-Ruiyi InfoTech Ltd.,18,26,979,922,16,3
Agbo F. Joseph,"Assistant Professor of Computer Science, Willamette University",17,22,979,974,0,0
Torsten Leidig,SAP Research,17,18,978,121,2,0
Jennings Anderson,GeoInformation Scientist,15,17,978,765,8,3
Nicholas Davis,UX Research Consultant,17,24,977,747,11,0
