Name,Affiliation,H-index,I10-index,Total Citations,Citations in Last 5 Years,Public Access Paper (Available),Public Access Paper (Not Available)
Henry Lieberman,"Principal Research Scientist, Massachsuetts Institute of Technology",60,131,19985,3086,3,0
Shwetak Patel,"University of Washington, Washington Research Foundation Endowed Professor, Computer Science",69,211,19962,10162,41,3
Mark Ackerman,"University of Michigan, Ann Arbor",61,148,19931,4021,33,5
Richard E Ladner,University of Washington,62,163,19757,4642,31,3
Peter Wright,Professor of Social Computing University of Newcastle,64,217,19604,6530,67,6
Hans Gellersen,"Professor of Interactive Systems, Lancaster University and Aarhus University",70,212,19578,5726,32,3
Anton Nijholt,"Human Media Interaction, University of Twente",56,285,19497,7897,21,2
Sunny Consolvo,UX Researcher at Google,56,86,19495,5901,7,0
Scott E. Hudson,"Professor of Human-Computer Interaction, Carnegie Mellon University",80,212,19477,5578,38,1
Blair MacIntyre,Head of Immersive Tech Research @ JPMorgan Chase. Professor of AR+Design & Computing at Northeastern,51,97,19134,5946,2,3
Eytan Adar,"Associate Professor, University of Michigan",55,110,19125,5661,19,0
Susanne Bødker,"Professor of Computer Science, Aarhus University",53,115,19112,4950,16,3
George Fitzmaurice,"Director, Research, Autodesk Research",75,209,19103,6923,3,1
Batya Friedman,"Professor of Information, University of Washington",52,98,18900,8988,9,2
Alexander Benlian,"Professor of Information Systems & E-Services, Technische Universität Darmstadt",58,151,18811,14719,21,6
Desney Tan,"Corporate VP and Managing Director, Microsoft",77,163,18678,7238,3,0
Rebecca E. Grinter,"Professor and Associate Dean, Georgia Institute of Technology",70,120,18610,4731,5,1
Zhihan Lyu,Uppsala University,76,264,18494,16175,98,164
Patrick Olivier,"Action Lab, Monash University",70,244,18443,9519,126,10
Richard Harper,Social Shaping Research,64,166,18189,4272,8,1
Karthik Ramani,Donald W. Feddersen Distinguished Professor of Mechanical Engineering,61,241,17752,9162,94,1
Kenneth C. Smith,"Professor Emeritus, University of Toronto",40,117,17473,3209,0,0
Brygg Ullmer,"Professor, Clemson University",33,46,17435,2807,13,0
Adam Finkelstein,"Professor of Computer Science, Princeton University",58,102,17287,5576,2,0
Zhiwen Yu (於志文),Northwestern Polytechnical University,59,269,17127,10588,165,185
Bongshin Lee,Yonsei University,69,193,17057,9630,40,0
Tobias Höllerer,"Professor, Computer Science, UC Santa Barbara",63,202,17024,6301,56,0
Sung-Ju Lee,KAIST,57,152,17012,2785,8,0
Robert Jacob,"Professor of Computer Science, Tufts University",54,113,16995,4686,12,3
Paul Luff,"Professor of Organisations And Technology, King's College London",52,103,16892,3773,11,3
David Kim,Staff Software Engineer at Google,42,54,16491,7793,1,0
Fabien Lotte,Inria Centre at the University of Bordeaux / LaBRI,53,121,16322,9721,61,0
Ann Blandford,"Professor of Human–Computer Interaction, UCL",61,266,16235,7612,136,0
Georgios N. Yannakakis,"Professor, Director, Inst. of Digital Games, University of Malta | modl.ai",64,197,15951,7441,73,0
Judith Olson,"Professor of Informatics, University of California Irvine",58,92,15786,3084,6,2
Baoquan Chen,Peking University,63,153,15623,10233,95,15
Nicolas Ducheneaut,Quantic Foundry,53,97,15603,4014,0,0
Hrvoje Benko,"Director, Meta Reality Labs Research, Affiliate Professor at the University of Washington",70,165,15584,7842,3,1
