Name,Affiliation,H-index,I10-index,Total Citations,Citations in Last 5 Years,Public Access Paper (Available),Public Access Paper (Not Available)
Jose Luis Isla Montes,Universidad de Cádiz,10,11,930,510,3,2
Gershon Dublon,MIT Media Lab,15,18,930,451,1,0
Prof. Shivanand  Sharanappa Gornale,"Professor, Department of Computer Science, Rani Channamma University,  Belagavi",17,33,929,615,13,0
Julián Grigera,"LIFIA, Fac. de Informática, UNLP",17,22,928,458,22,0
Munehiko Sato,"mui Lab, MIT Media Lab",11,14,926,406,1,0
Danielle Bragg,Microsoft Research,14,17,926,755,8,0
"Asterios Leonidis, PhD","FORTH-ICS (ics.forth.gr) and Computer Science Department, University of Crete (csd.uoc.gr)",18,32,925,569,3,0
Antti Jylhä,"Research Area Director, Haaga-Helia University of Applied Sciences",14,24,925,538,2,0
Helene Gelderblom,"Associate Professor, Dept of Informatics, University of  Pretoria",15,22,925,375,0,0
Manuel Schmidt-Kraepelin,Karlsruhe Institute of Technology,14,17,925,832,6,0
Justin Busch,UX Researcher,10,10,925,720,7,0
Enrique Hortal,"Maastricht University, Department of Advanced Computing Sciences",17,27,922,609,16,24
Yian Zhang 张逸安,Stanford University,8,8,922,922,1,0
Kening Zhu,"Associate Professor, School of Creative Media, City University of Hong Kong",18,30,921,777,27,7
Federico Botella,Universidad Miguel Hernández de Elche,14,19,921,425,2,1
Ferran Altarriba Bertran,Escola Universitària ERAM (Universitat de Girona) & Gamification Group (Tampere University),18,27,921,906,15,0
Joe Malunda,University of Pennsylvania,4,4,920,300,5,0
Pedro Faria Lopes,ISCTE-IUL,13,17,919,447,11,1
Franck Poirier,Université Bretagne Sud,15,30,919,359,0,0
Seongju chang,"Professor of Civil & Environmental Engineering, KAIST",15,23,918,517,0,0
Afsaneh Asaei,Head of AI,18,32,917,365,40,1
Dr.Ramkumar Sivasakthivel,"Department of Computer Science, School of Sciences,Christ University",18,30,917,820,2,0
Siow-Wee Chang,"Senior Lecturer, University of Malaya, Malaysia",14,16,917,773,0,0
Hiroaki Kawashima,University of Hyogo,17,28,917,275,0,0
Anuj Tewari,"Google, Uber, Meta, UC Berkeley",14,18,915,339,1,0
