Name,Affiliation,H-index,I10-index,Total Citations,Citations in Last 5 Years,Public Access Paper (Available),Public Access Paper (Not Available)
Ohad Inbar,"Researcher and lecturer, Tel Aviv University",15,16,762,436,1,0
Zhuying Li,"Associate Professor, Southeast University, China",18,22,762,753,5,0
Jan Håvard Skjetne,SINTEF AS,7,5,761,248,2,0
Joseph C. Osborn,Pomona College,17,23,760,512,6,0
Boryung Ju,"Professor of Information Science, Louisiana State University",11,12,759,356,0,1
Jieshan Chen,"Research Scientist, CSIRO's DATA61",7,7,759,732,1,0
Sebastin Santy,University of Washington,7,5,758,758,2,0
Songtao Wu,"AI Researcher, Sony RDC",11,11,758,650,4,6
Sunjun Kim,"Assistant Professor, DGIST, Republic of Korea",15,19,757,604,10,0
Lawrence Kim,Simon Fraser University,11,12,756,624,3,0
Takashi Yoshino,"Professor, Wakayama University",13,24,756,137,0,0
Lori Scarlatos,"Associate Professor, Stony Brook University",16,24,755,175,2,0
Gianluca Schiavo,FBK - Fondazione Bruno Kessler,14,20,754,649,12,0
Dr Mark Freeman,"Senior Lecturer, The University of Sydney Business School",12,14,754,514,0,0
Vikas G Ashok,Old Dominion University,17,24,754,555,43,1
Gretchen Irwin Casterella,University of North Carolina Wilmington,10,10,753,122,0,0
Johannes Zagermann,"Human-Computer Interaction Group, University of Konstanz",13,16,753,694,18,1
Sarah Webber,"Computing and Information Systems, University of Melbourne",14,21,752,584,10,0
Stephen MacNeil,"Assistant Professor, Temple University",15,20,752,723,6,0
Irene Rae,"Staff UX Researcher, Google",8,8,752,462,5,0
Hasan Shahid Ferdous,"Researcher, Centre for Digital Transformation of Health, The University of Melbourne, Australia",14,19,752,516,3,1
Elke Mattheiss,Self-Employed,15,21,751,457,0,1
Ivan Franco,McGill University,12,14,751,358,1,2
Tonja Machulla,TU Chemnitz,14,17,751,534,26,2
Sang Won Lee,Virginia Tech,15,26,750,482,8,0
Jason Watson,Associate Professor at the University of North Alabama,8,8,750,220,0,0
Ahsan Manzoor,"Rovio Entertainment, University of Oulu",12,13,750,738,11,0
Christian Guckelsberger,"Assistant Professor @Aalto University, Visiting Research Fellow @QMUL",16,21,749,601,25,0
Yochan Kim,Korea atomic energy research institute,14,26,749,563,0,0
Benjamin Xie,Stanford University,12,13,749,666,16,0
