Name,Affiliation,H-index,I10-index,Total Citations,Citations in Last 5 Years,Public Access Paper (Available),Public Access Paper (Not Available)
Anders Green,Södertörns Högskola,14,18,1450,370,0,0
Shitala Prasad,"Scientist, Institute for Infocomm Research, A*Star, Singapore",21,33,1447,907,2,4
Samira Shaikh,"Assistant Professor of Computer Science, UNC Charlotte",20,35,1446,1107,9,0
Abdallah Namoun,"Professor, Faculty of Computer and Information Systems, Islamic University of Madinah",20,37,1444,1030,0,1
Benjamin Weyers,"Professor for Computer Science, Trier University",21,47,1444,1007,28,15
Stephen Kimani,JKUAT,20,39,1444,574,1,1
Manas Mittal,"MIT, UC Berkeley, Uber",7,7,1443,441,0,0
Homei Miyashita,Meiji University,18,38,1443,807,1,0
Samir Otmane,"Full Professor / Professeur des Universités - Université d'Evry, Université Paris Saclay",19,40,1442,572,6,1
Dagmar Kern,Senior Researcher at GESIS,18,27,1435,634,13,1
Mary Beth Kery,Apple Inc.,14,17,1435,1277,14,1
Vânia Paula de Almeida Neris,Federal University of Sao Carlos - UFSCar,18,49,1434,638,4,0
Kerry Shih-Ping Chang,"PhD student of Human-Computer Interaction, Carnegie Mellon University",12,13,1434,1032,3,0
Colin Swindells,University of British Columbia,20,25,1433,509,1,0
Fan Du,Adobe Research,23,38,1432,1195,11,0
Matthew L. Lee,Toyota Research Institute,18,25,1431,718,2,0
Kellie Morrissey,"School of Applied Psychology, University College Cork",17,22,1430,1323,22,3
Souneil Park,Telefonica Research,15,21,1428,592,6,0
Gokhan Ince,"Faculty of Computer and Informatics Engineering, Istanbul Technical University",20,43,1428,917,7,7
Eugenia Politou,"University of Piraeus, Department of Informatics",14,17,1427,1114,7,0
Nelson Wong,University of Saskatchewan,11,11,1426,411,0,0
Ana I. Martinez-Garcia,Centro de Investigación Científica y de Educación Superior de Ensenada,15,21,1426,389,0,0
Maria Elizabeth Sucupira Furtado,university of fortaleza,18,44,1426,442,0,1
Alejandra Molina,"Interaction Designer, Google",7,7,1426,1426,0,0
Roberto Pirrone,"Associate Professor of Computer Science, Dept. Engineering, Univ. Palermo",18,46,1424,544,5,0
Claudia Roda,"Computer Science professor, American University of Paris",20,32,1422,381,0,0
Alison M Smith-Renner,Dataminr,17,20,1421,1038,7,0
Yim-Pan Chui,"Lecturer, The Chinese University of Hong Kong",19,29,1421,394,1,8
Yi-Ling Chen,Microsoft GenAI,14,16,1419,1105,2,0
Ann Morrison,"Associate Professor, Auckland University of Technology, New Zealand, Aalborg University, Aalborg",17,30,1417,466,8,5
Jessica Schroeder,Google,14,17,1417,1187,16,0
Dominik Schmidt,Cliqz GmbH,17,19,1415,415,3,0
Shi Cao,University of Waterloo,21,40,1415,1110,22,6
Yingjie Chen,"Professor of Computer Graphics, Purdue University",19,32,1413,1148,13,3
Dieter P. Wallach,HSKL und Ergosign GmbH,19,28,1411,545,8,7
Adalberto L. Simeone,"Associate Professor, KU Leuven",19,32,1410,1017,8,4
Alexander Kulik,Bauhaus-Universität Weimar,18,24,1409,843,6,1
Taiwoo Park,Amazon Alexa AI,19,28,1407,670,3,0
Mark Micire,"Research Scientist, Carnegie Mellon University / NASA Ames",19,27,1404,268,0,1
