Name,Affiliation,H-index,I10-index,Total Citations,Citations in Last 5 Years,Public Access Paper (Available),Public Access Paper (Not Available)
Fouad Alallah,"Lectrual of Computer Science, King Abdulaziz University",6,4,133,111,4,0
Didih Rizki Chandranegara,AGH University Science and Technology; Universitas Muhammadiyah Malang,6,3,133,129,0,0
Seunghyup Shin,Electronics and Telecommunications Research Institute,8,5,133,45,0,0
mohammed aitdaoud,"Laboratory of Information Technology and Modeling/ORDIPU, Faculty of Sciences Ben M'Sik, Hassan II",7,4,133,103,0,0
Timm Kleemann,"Researcher, University of Duisburg Essen",5,4,133,131,1,1
Yaşar Daşdemir,Erzurum Technical University,5,2,133,120,0,1
Nikos Ioannou,"PhD, National and Kapodistrian University of Athens, Dept. of Informatics and Telecommunications",4,4,133,71,0,0
SURYATININGSIH,Telkom University,5,1,133,91,0,0
Georg Freitag,University of Applied Sciences Dresden,5,4,133,46,3,0
Mohamed Kari,"Meta Reality Labs & University of Duisburg-Essen | Prev at ETH Zürich, Apple, Porsche",6,6,133,132,2,0
Chao-Hung Wang,Fu Jen Catholic University,5,3,133,121,0,0
益子 宗,楽天技術研究所,6,3,132,64,0,0
Ilyas Uyanik,University of Houston,6,3,132,99,0,0
Balandino Di Donato,Edinburgh Napier University,7,6,132,112,6,1
Estelle de Kock,"University of South Africa, College of Science, Engineering & Technology, School of Computing",5,4,132,43,1,0
Caroline Queiroz Santos,"Professor of Computer Science, UFVJM - Brazil.",7,4,132,79,0,0
Vik Parth,"Research Affiliate, MIT",4,2,132,132,3,0
Hyochang Kim,"Stanford Center at the Incheon Global Campus, Stanford University",6,5,132,95,0,0
Yohan Guerrier,"Development engineer, LAMIH-UMR CNRS 8201, Univ. Polytechnique Hauts-de-France, Valenciennes, France",7,5,132,78,0,0
Chelsea Kelling,Tampere University of Technology,6,4,132,124,3,2
Tomás Almeida e Silva Martins Alves,INESC-ID,5,3,132,131,8,0
Muhammad Hammad,"University of Prince Mugrin, Saudi Arabia; Eindhoven University of Technology, The Netherlands",6,5,132,114,0,0
Nikita Soni,"Assistant Professor, University of Illinois Chicago",6,4,132,132,7,3
Valentina Andries,University of Oxford,4,3,132,131,1,2
Thai Son NGUYEN,Posts & Telecommunications Institute of Technology,4,3,132,130,0,1
J S Elson,Researcher University of Nebraska Omaha,7,6,132,124,0,0
Aryo Edhie Nugroho,"Subject Content Specialist, BINUS University",3,2,132,104,1,0
Mahta Karimpoor,Stanford University,6,5,132,120,4,0
