Name,Affiliation,H-index,I10-index,Total Citations,Citations in Last 5 Years,Public Access Paper (Available),Public Access Paper (Not Available)
Sajed Jalil,"MS+Ph.D. Student, George Mason University",1,1,174,174,0,0
Zachary Rubin,Renton Technical College,7,6,173,122,3,0
Sumit Pandey,Cognite,9,7,173,97,1,0
Molly Maher,"Behavioral Scientist, Office of Academic Innovation, University of Michigan",5,4,173,124,3,0
Pablo Gómez-Abajo,"Assistant Professor, Computer Science Department, Universidad Autónoma de Madrid",7,5,173,160,13,0
Xi Yang,"PhD, Imperial College London",4,2,173,166,0,0
Daniel Brannon,"Associate Professor of Marketing, University of Northern Colorado",8,6,173,166,0,0
Jean-Baptiste Thiebaut,ROLI,7,6,173,41,0,0
Qiushi Zhou,"Postdoctoral Fellow, Department of Computer Science, Aarhus University",8,4,173,171,2,1
Sijia Xiao,UC Berkeley,6,5,173,166,3,0
Diana Robinson,PhD Student at University of Cambridge,3,2,173,173,1,0
Juan S Martinez,"PhD, MSc from Purdue University",5,3,173,169,6,0
Victoria Shipp,University of Nottingham,8,7,172,119,5,5
Zenja Ivkovic,University of Saskatchewan,3,3,172,87,0,0
Toni-Jan Keith Monserrat,Senti Techlabs Inc.,6,5,172,105,0,0
Chi-Hsien Yen,"Graduate Researcher of Computer Science, University of Illinois at Urbana-Champaign",7,7,172,125,1,0
Azin Semsar,Apple Inc.,7,5,172,156,8,0
Dr. Kaveh Bazargan,"Assistant Professor, Faculty of Communication Sciences, Allameh Tabataba’i University, Tehran, Iran",7,5,172,84,0,0
Eun-Young Ko,"PhD Candidate, School of Computing, KAIST",5,4,172,143,1,0
Aishat Aloba,User Experience (UX) Researcher,7,6,172,162,5,2
Gabriele Sarti,"PhD Student, University of Groningen",7,5,172,171,2,0
Panos Kakoulidis,"Samsung Electronics, National and Kapodistrian University of Athens, BRFAA",7,6,172,136,3,0
Alexandra B. Proaps,Old Dominion University,5,4,171,109,0,0
Nishant Prateek,Citi - London Innovation Labs; IIIT Hyderabad,5,5,171,171,0,0
Zeno Menestrina,"PhD in Computer Science, University of Trento",6,3,171,122,3,0
Dr. Ritu Kapur,"Senior Project Scientist, Indian Institute of Technology Mandi",8,8,171,136,1,0
Zeyu Wang,"Assistant Professor, Hong Kong University of Science and Technology (Guangzhou)",7,5,171,154,6,0
Tamanna Motahar,University of Utah,7,6,171,170,2,0
Sanjay Ghosh,Google,8,6,171,106,7,1
Shenyu Xu,"Graduate Research Assistant in Computer Science, Georgia Institute of Technology",6,4,171,171,5,0
