Name,Affiliation,H-index,I10-index,Total Citations,Citations in Last 5 Years,Public Access Paper (Available),Public Access Paper (Not Available)
Juan Carlos Torrado Vidal,"Norwegian Computing Centre, Østfold University College",11,12,445,393,12,1
Mike Horning,"Communication, Virginia Tech",13,17,445,354,4,0
Gökçe Elif Baykal,"Assistant Professor, Department of Communication Design, Özyeğin University",11,11,445,430,6,0
Hacer Karacan,Gazi University,12,14,445,299,0,0
Julie Fortuna,Stanford University,3,2,444,222,0,0
Hamilton A Hernandez,Experience Architect at Akendi Inc.,8,7,444,222,4,1
Reza Asadi,Northeastern University,8,8,444,414,6,0
Rafael Veras,Layer 6 AI (TD Bank),7,7,444,265,4,0
Nicholas Nelson,"CS PhD Candidate, Oregon State University",8,6,444,383,10,0
Matthias Hoppe,LMU Munich - HCUM,10,10,444,430,12,0
Kyle I. Murray,Apple,8,5,443,215,0,0
Amir Kiani,"Product Manager, Google",7,5,443,395,1,0
Ron C. Li,"Clinical Informatics Fellow, Stanford University School of Medicine",6,6,443,247,5,0
Yunli Lee,"DCIS, Sunway University",13,18,442,291,0,0
Nesra Yannier,"Special Faculty, Carnegie Mellon University",9,8,442,257,4,0
Nilavra Bhattacharya | নীলাভ্র ভট্টাচার্য্য,"Research Scientist, ABB Corporate Research Centre Germany",9,7,442,432,3,0
Astrid Carolus,Julius-Maximilians-University Wurzburg,11,12,441,425,0,0
Prof. Dr. Daniel Görlich,"Offenburg University, Media Faculty, Offenburg, Germany",11,11,441,282,3,0
Arun K. Kulshreshth,"School of Computing & Informatics, University of Louisiana at Lafayette",12,14,440,283,15,1
Blair Flicker,University of South Carolina,3,3,440,231,2,0
Markos Konstantakis,"Adjunct Professor, University of the Aegean, Department of Cultural Technology and Communication",12,15,440,425,0,0
Eric J Gonzalez,Researcher at Google,11,12,440,417,6,0
Ts. Dr Nurul Hidayah Mat Zain,"Senior Lecturer with the Department of Computer Science , Universiti Teknologi MARA",12,16,440,345,0,0
Mira Lane,"Technology & Society, Google",11,11,440,297,0,0
Jesse Burstyn,Queen's University,11,11,439,230,2,1
Ilyena Hirskyj-Douglas,"Lecturer / Assistant Professor, University of Glasgow",12,17,439,376,5,0
Ulrik Günther,CASUS & Max Planck Institute of Molecular Cell Biology and Genetics,6,5,439,400,6,0
Zhaokang Chen,The Hong Kong University of Science and Technology,10,10,439,416,4,0
Yang Lu,York St John University,8,8,439,426,14,1
Dr. Rosdiyana Samad,"Faculty of Electrical & Electronics Engineering, Universiti Malaysia Pahang (UMP)",11,13,438,309,0,0
Nahdatul Akma Ahmad,"Universiti Teknologi MARA, Perak Branch, Tapah Campus",10,11,438,361,0,0
Benjamín Hernández,NVIDIA,11,12,438,192,20,1
Crystal Butler,"Ph.D. Candidate, Computer Science, New York University",4,1,438,337,1,0
Alexandra L. Andres,University of Pennsylvania,11,11,438,425,6,0
Kaoning Hu,"Assistant Professor of Computer Science, Texas A&M University Commerce",8,8,438,249,0,0
Tony Wibowo,"Computer Science, Universitas Internasional Batam",8,5,438,438,0,0
Yue Jiang,"PhD Student, Aalto University, Finland",8,8,438,438,2,0
Victor Mateevitsi,Argonne National Laboratory,8,8,437,191,3,5
Wiwik Budiawan,"Industrial Engineering, Diponegoro University",10,12,437,397,0,0
Dr. Ayelet Segal,"Columbia university, Reichman university (IDC)",7,5,437,197,0,0
Ihudiya Finda Ogbonnaya-Ogburu,Virginia Tech,5,4,436,430,0,0
Philipp Kloimstein,Unknown affiliation,5,5,436,116,0,0
Shahryar Baki,"Research Assistant, University of Houston",9,9,436,395,11,0
Tae-Jung Yun,HP Inc,11,15,435,132,0,0
Dejan Pajić,"University of Novi Sad, Faculty of Philosophy - Department of Psychology",11,11,435,314,1,0
Lars Christian Jensen,PhD in Human-Robot Interaction from University of Southern Denmark,11,16,435,348,3,2
Julie M. Haney,National Institute of Standards and Technology,9,9,435,423,1,0
Martin K. Yeh,"Associate Professor of Information Sciences and Technology, Penn State University",10,12,434,329,6,1
"Kavous Salehzadeh Niksirat, PhD",EPFL,11,13,434,362,8,0
