Name,Affiliation,H-index,I10-index,Total Citations,Citations in Last 5 Years,Public Access Paper (Available),Public Access Paper (Not Available)
Jisu Jung,The University of Sydney,16,24,868,548,4,1
Huseyin Dogan,Professor of Human Computer Interaction,15,27,868,636,8,1
Zhu-Tian Chen,"Assistant Professor, University of Minnesota - Twin Cities",17,21,868,827,11,1
Soh MASUKO,"Shibaura Institute of Technology, Tokyo JAPAN",14,24,867,541,0,0
Rose Johnson,University College London,11,13,867,412,4,0
Xuan Zhao,"Robinhood, University of Michigan, Cornell University",7,7,866,446,1,0
Khalad Hasan,University of British Columbia,17,24,866,638,13,0
Rachel L. Franz,University of Washington,10,12,866,780,2,1
Wen WU,"School of Computer Science and Software Engineering, East China Normal University",13,19,866,645,16,15
Huy Viet Le,Apple,18,24,866,717,28,1
Melissa Smith,"Google, Inc.",9,8,865,728,0,0
Miguel Gea,Dpt. Lenguajes y Sistemas Informáticos,15,22,865,151,4,0
Dede Wira Trise Putra,Institut Teknologi Padang,9,9,865,842,0,0
Hassan Khan,University of Guelph,15,18,864,468,8,2
Zhanna Sarsenbayeva,"Lecturer, School of Computer Science, University of Sydney",17,24,864,797,30,0
Thomas Fischer,University of Applied Sciences Upper Austria,15,19,864,819,3,0
David Thue,"School of Information Technology, Carleton University",13,18,863,342,3,0
Dr. Samar Swaid,Philander Smith College,8,8,863,455,2,1
Giulio Gabrieli,Istituto Italiano Di Tecnologia,17,25,863,859,19,0
Barbara Truman,Researcher of Immersive Learning and Collaboration,14,19,862,280,0,2
Hao-Fei Cheng,Amazon,10,10,862,828,9,1
Bjorn Sommer,Royal College of Art,17,22,861,601,25,3
Sana Malik,"Adobe, Inc",17,20,861,621,2,0
Stephanie Farewell,"Associate Professor of Accounting, University of Arkansas at Little Rock",13,14,860,331,0,0
Sarah Morrison-Smith,"Assistant Professor, Hamilton College",8,8,859,768,3,0
Nediyana Daskalova,"Research Scientist, Spotify",10,10,857,727,4,0
Alex C. Williams,"Applied Scientist, AWS AI",15,19,856,775,10,0
Maurício Sousa,Reality Labs Research at Meta,19,26,856,745,35,0
Yonglei Tao,Grand Valley State Univ,13,19,854,326,0,0
Simon Tucker,PARC,15,20,854,194,1,0
Mykola Maksymenko,"Haiqu, co-founder & CTO",12,13,853,538,16,1
Jian Tang,Central University of Finance and Economics,15,16,853,685,13,9
Benedikt Loepp,Fraunhofer IMS,11,11,853,707,0,0
Vittorio Fuccella,"Associate Professor, University of Salerno",14,29,852,384,3,2
George E. Raptis,"Industrial Systems Institute, ATHENA RC / Human Opsis / University of Peloponnese",16,18,852,752,6,3
Michiya Yamamoto,Kwansei Gakuin University,14,25,852,224,2,0
Saverio Perugini,"Professor of Mathematics and Computer Science, Ave Maria University",14,19,851,134,7,1
Florian Foerster,Georgia Institute of Technology,14,16,851,419,6,0
Na Du,Assistant Professor at University of Pittsburgh,14,16,851,838,10,0
