Name,Affiliation,H-index,I10-index,Total Citations,Citations in Last 5 Years,Public Access Paper (Available),Public Access Paper (Not Available)
Jakob Nielsen,UX Tigers,120,596,127250,29367,1,0
Ben Shneiderman,"Professor of Computer Science, University of Maryland",135,536,108229,22263,19,2
Peng Shi,"Professor, School of Electrical and Electronic Engineering, The University of Adelaide",166,990,94192,45246,144,447
Susan Dumais,"Technical Fellow, Microsoft Research",122,292,92999,21441,5,0
Sara Kiesler,"Emeritus Hillman Professor of Computer Science and Human Computer Interaction, Carnegie Mellon",108,225,80399,16302,9,1
Joseph A. Konstan,University of Minnesota,82,166,78957,24253,26,2
Rosalind Picard,"Professor, MIT Media Lab",121,388,75205,25919,71,4
Michael S. Bernstein,"Associate Professor, Stanford University",67,141,72418,54009,43,0
Robert E. Kraut,"Herbert A. Simon University Professor Emeritus,  Human-Computer  Interaction Institute, Carnegie",121,272,66857,16121,23,0
Gregory D. Abowd,"Dean, College of Engineering, Northeastern University",96,339,63437,11348,45,2
Anind K. Dey,University of Washington,86,274,58561,17769,87,8
Stuart K. Card,"Adjunct Professor, Computer Science Dept., Stanford University",89,175,58494,8875,0,0
John M. Carroll,"Distinguished Professor of Information Sciences and Technology, Pennsylvania State University",105,549,54671,11772,62,8
Hui Yang,Dentsply Sirona,109,761,49897,28691,284,171
Steven Feiner,"Professor of Computer Science, Columbia University",84,235,47754,10465,31,8
Pattie Maes,"Professor of Media Arts and Sciences, MIT",89,274,47726,7934,25,2
Lorrie Faith Cranor,"FORE Systems Professor, Carnegie Mellon University",111,262,47569,20414,56,0
Yvonne Rogers,University College London,86,252,47475,12468,56,1
Paul Dourish,"Steckler Endowed Chair of Information and Computer Science, University of California, Irvine",84,186,45363,11595,6,2
John H Morris,UCSF,45,104,44307,37003,94,8
Matthew Turk,"President, TTIC",61,136,44113,7285,19,0
Andrew Campbell,"Alfred Bradley 1915 Third Century Professor,  Computer Science, Dartmouth College",90,279,43153,11095,61,0
Yun Raymond Fu,"NEU, COE Distinguished Professor; MAE, FNAI, FAAAS, FIEEE, FSPIE, FOSA, FIAPR",91,357,42505,31516,161,28
Marti A Hearst,"Professor, University of California, Berkeley",75,188,42223,10785,15,1
Miriam Konkel,Clemson University,25,36,41509,19038,39,0
Thad Starner,"Professor of Computing, Georgia Institute of Technology",89,287,41471,11132,18,2
Catherine Plaisant,"Research Scientist Emerita, University of Maryland",70,193,41279,8917,24,1
James Y.L. Thong,"Michael Jebsen Professor of Business, Chair Professor, AIS Fellow, HKUST",47,54,39777,21743,9,0
Shahram Izadi,"Director, Google",99,247,38076,17491,14,0
