Name,Affiliation,H-index,I10-index,Total Citations,Citations in Last 5 Years,Public Access Paper (Available),Public Access Paper (Not Available)
Ping-Hsuan Han,National Taipei University of Technology,11,14,539,468,0,0
Angela Fessl,Know-Center GmbH,11,12,539,426,14,2
John R Thompson,Georgia Institute of Technology,11,11,539,413,3,0
Xinhuan Shu,University of Edinburgh,12,12,539,527,12,1
Niels Wouters,Paper Giant,11,12,538,315,2,0
Dania Eridani,"Departement of Computer Engineering, Diponegoro University",11,12,538,507,0,0
Yehya Mohamad,Senior Researcher & lecturer at Fraunhofer FIT,10,12,538,151,14,1
Douglas Zytko,"Assistant Professor, Oakland University",13,16,538,451,10,1
Lu Luo,Samsung Research America,9,8,538,137,0,0
Meethu Malu,Google,9,9,537,331,5,0
Nik Zulkarnaen Khidzir,Senior Lecturer at Universiti Malaysia Kelantan,10,10,537,415,0,0
Mengdie Hu,Facebook Inc.,7,7,536,211,1,0
Foad Ghaderi,Associate Prof. at Tarbiat Modares University,10,11,536,265,1,0
Grace Shin,Sookmyung Women's University,6,5,536,522,0,0
Francisco Gutiérrez,"Lead User Experience Researcher, HSBC",11,13,536,504,9,1
Assoc. Prof. Dr. Faieza Abdul Aziz,Universiti Putra Malaysia,12,15,536,310,0,0
Ivana Harari,Profesora Universidad Nacional de La Plata,11,11,536,257,1,1
Sung Ho Choi,Chonnam National University,10,10,536,534,0,0
Hyunggu Jung,"Associate Professor, University of Seoul",12,15,535,462,5,0
Zhimin Ren,"PhD Student, University of North Carolina at Chapel Hill",10,10,535,200,0,0
Dr. Ricky Jacob,"Postdoctoral Researcher, Maynooth University",11,11,535,168,18,0
Seong Youb Chung,Professor of Korea National University of Transportation,11,13,535,320,0,0
Christian Frisson,"Society for Arts and Technology [SAT], Metalab",14,16,535,276,6,1
Hank Streeter,"Senior Professional Lecturer, DePaul University CDM",2,2,535,23,0,0
Bram Willemsen,"PhD student, KTH Royal Institute of Technology",7,6,535,495,11,0
Salah Uddin Ahmed,"USN, NTNU",10,11,534,282,1,1
Daniel Pereira,PhD Student @ University of Porto,8,7,534,225,3,4
Jaemin Jo,Sungkyunkwan University,13,20,534,459,2,0
Harish Ram Nambiappan,University of Texas at Arlington,6,5,534,533,4,1
Sarven Capadisli,Unknown affiliation,11,12,533,351,3,0
Alexander Fiannaca,Senior Software Engineer at Google Research,13,14,533,439,0,0
Claudia Patricia Hilderbrand,"Master's Student, Oregon State University",9,8,533,506,11,0
Dai Hasegawa,"Associate Professor, Hokkai Gakuen University",9,9,532,452,1,0
Chang Xiao,Adobe Research,12,12,532,528,7,2
Shaimaa Lazem,"Associate Research Professor, City of Scientific Research and Technological Applications",14,16,531,384,2,2
