Name,Affiliation,H-index,I10-index,Total Citations,Citations in Last 5 Years,Public Access Paper (Available),Public Access Paper (Not Available)
farshad daliri,"Master of Human-Computer Interaction, Carleton University",2,2,60,34,1,0
Antoine Ponsard,"MSc Student, University of British Columbia",3,2,60,47,1,0
Emi Iryanti,IT Telkom Purwokerto,5,2,60,52,0,0
Chapwouo T. Landry D.,Université du Québec à Chicoutimi,4,1,60,41,2,1
Christopher Kwan,Boston University,6,3,60,18,0,0
Yhony Agus Setya Mahendra,STKIP PGRI Pacitan,3,2,60,47,0,0
Sicheng Li,Auburn University,4,1,60,41,0,1
Sara Albakry,"PhD Candidate@TULIPS, ILCC, University of Edinburgh / TA@Computer Science, Umm Al-Qura University",2,1,60,60,1,0
Georg Hagemann,Ludwig Maximilians Universität München; University of British Columbia,4,3,60,59,3,1
Mehmet Ordu,"Georgia Tech, Bogazici University",2,1,60,35,0,0
Gyeongbin Park,"Dept. of Interaction Science, Sungkyunkwan University",2,1,60,58,0,0
Paul Remache,Universidad Tecnológica Indoamérica,4,2,60,60,1,0
Luana Okino Sawada,"Ph.D. Student, School of Computing and Information Science, Florida International University",4,2,60,58,0,0
Hao-Cheng Wang,National Taiwan University,3,1,60,60,0,0
Alok Debnath,"School of Computer Science and Statistics, Trinity College Dublin",5,2,60,59,4,0
Charles Chuankai Zhang,University of Minnesota,5,4,60,59,4,0
Sander Staal,Research Assistant,6,2,60,56,2,0
Danielle Oltman,McGill University,2,2,60,60,1,0
Adam Jenkins,King's College London,4,3,60,60,4,0
Indrajeet Ghosh,University of Maryland Baltimore County,4,3,60,60,6,1
Jenny Han,Stanford University,3,2,60,60,1,0
Cindy Christensen,University of Porto,2,1,60,60,2,0
Muhammad Hussain,"University of York, UK",5,1,60,60,0,0
Kevin Weatherwax,"PhD Student, University of Santa Cruz California",5,4,60,60,1,0
Sara Bouguelia,LIRIS - Claude Bernard University Lyon 1,4,2,60,60,0,0
Andreas Michelakis,Unknown affiliation,3,1,60,60,0,0
